station_name,equipment_id,description,borough,subway_lines,equipment_type,ada_compliant,is_active,direction,subset_lines,connection_to_street
21 St - Queensbridge,ES422,It operates between mezzanine and street at NE corner of 21 St & 41 Ave,QNS,F,ES,N,Y,,F,N
21 St - Queensbridge,ES425,It operates between platform and mezzanine,QNS,F,ES,N,Y,,F,N
21 St - Queensbridge,ES426,It operates between platform and mezzanine,QNS,F,ES,N,Y,,F,N
21 St - Queensbridge,ES424,It operates between platform and mezzanine,QNS,F,ES,N,Y,,F,N
21 St - Queensbridge,ES423,It operates between platform and mezzanine,QNS,F,ES,N,Y,,F,N
23 St,EL298,Park Ave & 23 St (NE corner) to uptown platform,MN,6,EL,Y,Y,uptown,6,N
23 St,EL299,Park Ave & 23 St (NW corner) to downtown platform,MN,6,EL,Y,Y,downtown,6,N
231 St,EL185,231 St & Broadway (SE corner) to Van Cortlandt Park-bound platform,BX,1,EL,Y,Y,,['1'],Y
231 St,EL184,231 St & Broadway (SW corner) to Manhattan-bound platform,BX,1,EL,Y,Y,,['1'],Y
233 St,EL192,233 St & White Plans Rd (NW corner) to mezzanine for service in both directions,BX,2/5,EL,Y,Y,both directions,2/5,Y
233 St,EL194,mezzanine to Manhattan-bound platform,BX,2/5,EL,Y,Y,,2/5,N
233 St,EL193,mezzanine to Wakefield 241 St-bound platform,BX,2/5,EL,Y,Y,,2/5,N
28 St,EL279X,28 St & Park Ave (SW corner) to downtown platform,MN,6,EL,Y,Y,downtown,6,Y
34 St - Herald Sq,EL200X,6th Ave & 32 St (NW corner) to mezzanine for PATH service and access to subway service via stairs or non-ADA ramp,MN,B/D/F/M/N/Q/R/W,EL,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,EL213,6th Ave & 34 St entrance (SW corner) to mezzanine for service in both directions on all lines,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,both directions,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES222,It operates between mezzanine near PATH train (connecting to subway lines via non-ADA ramp) and street at NW corner of 32 St & 6th Ave,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES221,It operates between mezzanine near PATH train (connecting to subway lines via non-ADA ramp) and street at NW corner of 32 St & 6th Ave,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES233,It operates between platform for northbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES224,It operates between mezzanine near PATH train (connecting to subway lines via non-ADA ramp) and street at NW corner of 32 St & 6th Ave,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES223,It operates between mezzanine near PATH train (connecting to subway lines via non-ADA ramp) and street at NW corner of 32 St & 6th Ave,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,EL209,mezzanine to downtown B/D/F/M platform,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,downtown,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,EL211,mezzanine to downtown N/Q/R/W platform,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,downtown,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,EL210,mezzanine to uptown B/D/F/M platform,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,uptown,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,EL212,mezzanine to uptown N/Q/R/W platform ,MN,B/D/F/M/N/Q/R/W,EL,Y,Y,uptown,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES230,It operates between platform for northbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES229,It operates between platform for northbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES234,It operates between platform for northbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES232,It operates between platform for southbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES236,It operates between platform for southbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES235,It operates between platform for southbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Herald Sq,ES231,It operates between platform for southbound B/D/F/M and mezzanine,MN,B/D/F/M/N/Q/R/W,ES,N,Y,,B/D/F/M/N/Q/R/W,N
34 St - Hudson Yards,EL603,34th St (between 10th Ave & 11th Ave) to upper mezzanine for Flushing Main St-bound service,MN,7,EL,Y,Y,,7,N
34 St - Hudson Yards,ES636, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES623,It operates between lower mezzanine and upper mezzanine,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES635, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES622,It operates between lower mezzanine and upper mezzanine,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES621,It operates between lower mezzanine and upper mezzanine,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES625,It operates between lower mezzanine and upper mezzanine,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES633, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES634, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES624,It operates between lower mezzanine and upper mezzanine,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,EL600,mezzanine to Flushing Main St-bound platform,MN,7,EL,Y,Y,,7,N
34 St - Hudson Yards,EL602,upper mezzanine to lower mezzanine for Flushing Main St-bound service,MN,7,EL,Y,Y,,7,N
34 St - Hudson Yards,EL601,upper mezzanine to lower mezzanine for Flushing Main St-bound service,MN,7,EL,Y,Y,,7,N
34 St - Hudson Yards,ES632, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES629,It operates between upper mezzanine and street on 34 St between 10th & 11th Ave,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES628,It operates between upper mezzanine and street on 34 St between 10th & 11th Ave,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES630, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES631, ,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES627,It operates between upper mezzanine and street on 34 St between 10th & 11th Ave,MN,7,ES,N,Y,,7,N
34 St - Hudson Yards,ES626,It operates between upper mezzanine and street on 34 St between 10th & 11th Ave,MN,7,ES,N,Y,,7,N
34 St - Penn,EL225,34 St & 8th Ave (SE corner) to uptown C/E platform and access to rest of complex,MN,A/C/E,EL,Y,Y,uptown,A/C/E,N
34 St - Penn,EL215,concourse level of Penn Station to platform for 2/3 service in both directions,MN,1/2/3/LIRR,EL,Y,Y,both directions,1/2/3/LIRR,N
34 St - Penn,EL216,concourse level of Penn Station to platform for downtown 1 service,MN,1/2/3/LIRR,EL,Y,Y,downtown,1/2/3/LIRR,N
34 St - Penn,EL214,concourse level of Penn Station to platform for uptown 1 service,MN,1/2/3/LIRR,EL,Y,Y,uptown,1/2/3/LIRR,N
34 St - Penn,EL34X,LIRR entrance - south side of 34 St (west of 7th Ave) to Penn Station concourse for service in both directions on all lines,MN,1/2/3/LIRR,EL,Y,Y,both directions,1/2/3/LIRR,N
34 St - Penn,EL227,Penn Station concourse to A platform for service in both directions,MN,A/C/E,EL,Y,Y,both directions,A/C/E,N
34 St - Penn,EL228,Penn Station concourse to downtown C/E platform,MN,A/C/E,EL,Y,Y,downtown,A/C/E,N
34 St - Penn,EL226,uptown C/E platform to lower mezzanine for access to Penn Station concourse and rest of complex,MN,A/C/E,EL,Y,Y,uptown,A/C/E,N
42 St - Bryant Park,EL295X,39 St & 6th Ave (NW corner) to mezzanine of B/D/F/M and passageway to 7 Line,MN,B/D/F/M,EL,N,Y,,['B/D/F/M'],N
42 St - Bryant Park,EL287X,42 St & 6th Ave (NW corner) to mezzanine of B/D/F/M and passageway to 7 Line,MN,B/D/F/M,EL,N,Y,,['B/D/F/M'],N
42 St - Bryant Park,EL294X,42 St & 6th Ave (SW corner) to mezzanine of B/D/F/M and passageway to 7 Line,MN,B/D/F/M,EL,N,Y,,['B/D/F/M'],N
42 St - Grand Central,EL204,42 St (between Park Ave & Lexington Ave) to mezzanine for 4/5/6/7 service in both directions,MN,4/5/6/7,EL,Y,N,both directions,['4/5/6/7'],N
42 St - Grand Central,ES207,It operates between platform for 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES209,It operates between platform for 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES610X,It operates between mezzanine above 4/5/6 and street near SE corner of 42 St & Park Ave,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES203,It operates between lower mezzanine above 7 Line and street-level (inside building on south side of 42 St between Lexington Ave & 3rd Ave),MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES204,It operates between lower mezzanine above 7 Line and street-level (inside building on south side of 42 St between Lexington Ave & 3rd Ave),MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES206,It operates between lower mezzanine above 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES205,It operates between lower mezzanine above 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES210,It operates between platform for 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES208,It operates between platform for 7 Line and mezzanine above 4/5/6 Line,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,EL244,mezzanine to 7 platform for service in both directions,MN,4/5/6/7,EL,Y,N,both directions,4/5/6/7,N
42 St - Grand Central,EL205,mezzanine to downtown 4/5/6 platform,MN,4/5/6/7,EL,Y,Y,downtown,4/5/6/7,N
42 St - Grand Central,EL206,mezzanine to uptown 4/5/6 platform,MN,4/5/6/7,EL,Y,Y,uptown,4/5/6/7,N
42 St - Grand Central,EL296,42 St & Lexington Av to mezzanine for 4/5/6/7 service in both directions ,MN,4/5/6/7,EL,Y,Y,both directions,['4/5/6/7'],N
42 St - Grand Central,ES609X,It operates between mezzanine above 4/5/6 and street at SW corner of Park Ave & 42 St,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES608X,It operates between mezzanine above 4/5/6 and street at SW corner of Park Ave & 42 St,MN,4/5/6/7,ES,N,Y,,4/5/6/7,N
42 St - Grand Central,ES256,It operates between mezzanine above 4/5/6 and street-level (inside Grand Central Terminal at 42 St & Park Ave),MN,4/5/6/7,ES,N,N,,4/5/6/7,N
42 St - Grand Central,ES255,It operates between mezzanine above 4/5/6 and street-level (inside Grand Central Terminal at 42 St & Park Ave),MN,4/5/6/7,ES,N,N,,4/5/6/7,N
42 St - Port Authority Bus Terminal,EL291X,8th Ave & 44 St entrance (SW corner) to intermediate landing for A/C/E service in both directions,MN,A/C/E,EL,Y,N,both directions,['A/C/E'],N
42 St - Port Authority Bus Terminal,EL290X,intermediate landing to mezzanine for A/C/E service in both directions,MN,A/C/E,EL,Y,N,both directions,['A/C/E'],N
42 St - Port Authority Bus Terminal,ES606X,It operates between mezzanine and intermediate landing connected to Escalator ES607X that connects to street level,MN,A/C/E,ES,N,Y,,A/C/E,N
42 St - Port Authority Bus Terminal,ES607X,It operates between landing of Escalator ES606X and street at 42 St & 8th Ave,MN,A/C/E,ES,N,Y,,A/C/E,N
42 St - Port Authority Bus Terminal,EL288X,Port Authority Bus Terminal (8th Ave between 41st St & 42nd St) to mezzanine for A/C/E service in both directions via ramps,MN,A/C/E,EL,Y,Y,both directions,['A/C/E'],N
42 St - Port Authority Bus Terminal,EL289X,Port Authority Bus Terminal (8th Ave between 41st St & 42nd St) to mezzanine for A/C/E service in both directions via ramps,MN,A/C/E,EL,Y,Y,both directions,['A/C/E'],N
47-50 St - Rockefeller Ctr,EL234,49 St & 6th Ave (NW corner) to mezzanine for service in both directions,MN,B/D/F/M,EL,Y,Y,both directions,B/D/F/M,N
47-50 St - Rockefeller Ctr,EL236,mezzanine to downtown platform,MN,B/D/F/M,EL,Y,Y,downtown,B/D/F/M,N
47-50 St - Rockefeller Ctr,EL235,mezzanine to uptown platform,MN,B/D/F/M,EL,Y,Y,uptown,B/D/F/M,N
49 St,EL268X,49 St & 7th Ave (NE corner) to uptown platform,MN,N/R/W,EL,Y,Y,uptown,N/R/W,Y
5 Av / 53 St,ES239,It operates between upper (southbound) platform and mezzanine below 5th Ave and 53 St (lower platform accessed via staircase),MN,E/M,ES,N,Y,,E/M,N
5 Av / 53 St,ES240,It operates between upper (southbound) platform and mezzanine below 5th Ave and 53 St (lower platform accessed via staircase),MN,E/M,ES,N,Y,,E/M,N
5 Av / 53 St,ES241,It operates between upper (southbound) platform and mezzanine below 5th Ave and 53 St (lower platform accessed via staircase),MN,E/M,ES,N,Y,,E/M,N
5 Av / 53 St,ES242,It operates between upper (southbound) platform and mezzanine below 5th Ave and 53 St (lower platform accessed via staircase),MN,E/M,ES,N,Y,,E/M,N
50 St,EL207X,49 St and 8th Ave (NW corner) to downtown C and access to downtown E,MN,C/E,EL,Y,Y,downtown,C/E,N
50 St,ES263X,It operates between upper (C Line) platform and street near SW corner of 50 St & 8th Ave,MN,C/E,ES,N,Y,,C/E,N
50 St,EL208X,downtown C platform to downtown E platform,MN,C/E,EL,Y,Y,downtown,C/E,N
50 St,ES264X,It operates between lower (E Line) platform and upper (C Line) platform,MN,C/E,ES,N,Y,,C/E,N
51 St,EL202,downtown 6 platform to underpass for access to uptown 6 and E/M service in both directions,MN,6/E/M,EL,Y,Y,downtown,6/E/M,N
51 St,ES252,It operates between platform for southbound 6 Line and underpass connecting northbound 6 and E/M service,MN,6/E/M,ES,N,Y,,6/E/M,N
51 St,EL201,mezzanine to underpass for access to downtown 6 service,MN,6/E/M,EL,Y,Y,downtown,6/E/M,N
57 St - 7 Av,EL283, ,MN, ,EL,Y,N,, ,N
57 St - 7 Av,EL282, ,MN, ,EL,Y,N,, ,N
57 St - 7 Av,EL281,57 St & 7th Ave (SW corner) to mezzanine for service in both directions,MN,N/Q/R/W,EL,N,Y,both directions,N/Q/R/W,N
57 St - 7 Av,EL604, ,MN, ,EL,Y,N,, ,N
59 St,ES213,It operates between platform for northbound 4/5 and platform for northbound 6 Line,MN,4/5/6,ES,N,Y,,4/5/6,N
59 St,ES211,It operates between platform for northbound 4/5 and platform for northbound 6 Line,MN,4/5/6,ES,N,Y,,4/5/6,N
59 St,ES214,It operates between platform for southbound 4/5 and platform for southbound 6 Line,MN,4/5/6,ES,N,Y,,4/5/6,N
59 St,ES212,It operates between platform for southbound 4/5 and platform for southbound 6 Line,MN,4/5/6,ES,N,Y,,4/5/6,N
59 St - Columbus Cir,EL276X,8th Ave & 58 St (NW corner) to mezzanine for downtown 1 service and A/B/C/D service in both directions,MN,1/A/B/C/D,EL,Y,Y,downtown,1/A/B/C/D,N
59 St - Columbus Cir,EL280,Central Park West & 60 St (NW corner) to uptown 1 platform and access to rest of complex via uptown A/B/C/D platform,MN,1/A/B/C/D,EL,Y,Y,uptown,1/A/B/C/D,N
59 St - Columbus Cir,EL277,mezzanine to downtown A/B/C/D & 1 platforms,MN,1/A/B/C/D,EL,Y,Y,downtown,1/A/B/C/D,N
59 St - Columbus Cir,EL278,mezzanine to uptown A/B/C/D platform,MN,1/A/B/C/D,EL,Y,Y,uptown,1/A/B/C/D,N
59 St - Columbus Cir,ES250X,It operates between mezzanine above A/B/C/D (outside paid zone) and street at NW corner of 8th Ave & 58 St,MN,1/A/B/C/D,ES,N,Y,,1/A/B/C/D,N
59 St - Columbus Cir,ES251X,It operates between mezzanine above A/B/C/D (outside paid zone) and street at NW corner of 8th Ave & 58 St,MN,1/A/B/C/D,ES,N,Y,,1/A/B/C/D,N
59 St - Columbus Cir,ES276X, ,MN,1/A/B/C/D,ES,N,N,,1/A/B/C/D,N
59 St - Columbus Cir,EL279,uptown 1 platform to uptown A/B/C/D platform,MN,1/A/B/C/D,EL,Y,Y,uptown,1/A/B/C/D,N
61 St - Woodside,EL419X,mezzanine to Long Island-bound LIRR platform,QNS,7/LIRR,EL,N,Y,,7/LIRR,N
61 St - Woodside,EL418X,mezzanine to Penn Station-bound LIRR platform,QNS,7/LIRR,EL,N,Y,,7/LIRR,N
61 St - Woodside,EL417X,mezzanine to Flushing Main St-bound 7 platform ,QNS,7/LIRR,EL,Y,Y,,7/LIRR,N
61 St - Woodside,EL416X,mezzanine to Manhattan-bound 7 platform,QNS,7/LIRR,EL,Y,Y,,7/LIRR,N
61 St - Woodside,EL415X,Roosevelt Ave & 61 St (NE corner) to mezzanine for LIRR and 7 service in both directions,QNS,7/LIRR,EL,Y,Y,both directions,7/LIRR,N
61 St - Woodside,ES448,It operates between street at 61 St & Roosevelt Ave and mezzanine of elevated 7 Line,QNS,7/LIRR,ES,N,Y,,7/LIRR,N
62 St / New Utrecht,EL740,mezzanine to Manhattan-bound D platform,BKN,D/N,EL,Y,Y,,D/N,N
62 St / New Utrecht,EL741,mezzanine to Coney Island-bound D platform,BKN,D/N,EL,Y,Y,,D/N,N
62 St / New Utrecht,EL738,62 St & New Utrecht Av (SE corner) to Manhattan-bound N platform,BKN,D/N,EL,Y,Y,,D/N,N
62 St / New Utrecht,EL739,62 St & New Utrecht Av (SE corner) to Coney Island-bound N platform and D mezzanine for service in both directions,BKN,D/N,EL,Y,Y,both directions,D/N,N
66 St - Lincoln Center,EL237,East side of Broadway (between 65 St & 66 St) to uptown platform ,MN,1,EL,Y,Y,uptown,1,N
66 St - Lincoln Center,EL238,West side of Broadway (between 65 St & 66 St) to downtown platform,MN,1,EL,Y,Y,downtown,1,N
68 St / Hunter College,EL285, ,MN, ,EL,Y,N,, ,N
68 St / Hunter College,EL286, ,MN, ,EL,Y,N,, ,N
68 St / Hunter College,EL284, ,MN, ,EL,Y,N,, ,N
7 Av,ES238,It operates between upper platform for southbound service and mezzanine below 53 St & 7th Ave,MN,B/D/E,ES,N,Y,,B/D/E,N
7 Av,ES237,It operates between upper platform for southbound service and mezzanine below 53 St & Broadway,MN,B/D/E,ES,N,Y,,B/D/E,N
72 St,EL240,Broadway (between 72 St & 73 St) to downtown platform ,MN,1/2/3,EL,Y,Y,downtown,1/2/3,N
